2026-05-06 09:09:59 | INFO | preprocessing | Ohio: 256 weekly records after preprocessing
2026-05-06 09:09:59 | INFO | preprocessing | Oklahoma: 256 weekly records after preprocessing
2026-05-06 09:09:59 | INFO | preprocessing | Oregon: 256 weekly records after preprocessing
2026-05-06 09:09:59 | INFO | preprocessing | Pennsylvania: 256 weekly records after preprocessing
2026-05-06 09:09:59 | INFO | preprocessing | Rhode Island: 256 weekly records after preprocessing
2026-05-06 09:09:59 | INFO | preprocessing | South Carolina: 256 weekly records after preprocessing
2026-05-06 09:09:59 | INFO | preprocessing | South Dakota: 256 weekly records after preprocessing
2026-05-06 09:09:59 | INFO | preprocessing | Tennessee: 256 weekly records after preprocessing
2026-05-06 09:09:59 | INFO | preprocessing | Texas: 256 weekly records after preprocessing
2026-05-06 09:09:59 | INFO | preprocessing | Utah: 256 weekly records after preprocessing
2026-05-06 09:09:59 | INFO | preprocessing | Vermont: 256 weekly records after preprocessing
2026-05-06 09:09:59 | INFO | preprocessing | Virginia: 256 weekly records after preprocessing
2026-05-06 09:09:59 | INFO | preprocessing | Washington: 256 weekly records after preprocessing
2026-05-06 09:09:59 | INFO | preprocessing | West Virginia: 256 weekly records after preprocessing
2026-05-06 09:09:59 | INFO | preprocessing | Wisconsin: 256 weekly records after preprocessing
2026-05-06 09:09:59 | INFO | preprocessing | Wyoming: 256 weekly records after preprocessing
2026-05-06 09:10:06 | INFO | evaluation | Best model by MAPE: xgboost (3.00%)
2026-05-06 09:10:11 | INFO | evaluation | Preferring sarima over xgboost (MAPE diff: 0.50%)
2026-05-06 15:42:15 | INFO | main | Data path: C:\Users\Admin\Desktop\time-series-forecasting-system\time-series-forecasting-system\data\sales_data.xlsx
2026-05-06 15:42:15 | INFO | main | Training all available states
2026-05-06 15:42:15 | INFO | train_pipeline | Starting full training pipeline...
2026-05-06 15:42:15 | INFO | preprocessing | Loading data from C:\Users\Admin\Desktop\time-series-forecasting-system\time-series-forecasting-system\data\sales_data.xlsx
2026-05-06 15:42:17 | INFO | preprocessing | Loaded 8084 rows, 43 states
2026-05-06 15:42:17 | INFO | preprocessing | Alabama: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Arizona: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Arkansas: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | California: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Colorado: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Connecticut: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Florida: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Georgia: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Illinois: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Indiana: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Iowa: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Kansas: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Kentucky: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Louisiana: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Maine: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Maryland: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Massachusetts: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Michigan: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Minnesota: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Mississippi: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Missouri: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Nebraska: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Nevada: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | New Hampshire: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | New Mexico: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | New York: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | North Carolina: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Ohio: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Oklahoma: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Oregon: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Pennsylvania: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Rhode Island: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | South Carolina: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | South Dakota: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Tennessee: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Texas: 256 weekly records after preprocessing
